id,name,country,age,premier,bundes,seriea,spain
23936,ricardo vaz te,Portugal,29,1,0,0,0
23937,ricardo gardner,Jamaica,38,1,0,0,0
23939,tal ben haim,Israel,34,1,0,0,0
23947,goncalo brandao,Portugal,29,0,0,1,0
23949,darren bent,United Kingdom,32,1,0,0,0
23950,dean kiely,United Kingdom,45,1,0,0,0
23954,jerome thomas,United Kingdom,33,1,0,0,0
23979,robert elliot,United Kingdom,30,1,0,0,0
23983,geremi,Cameroon,37,1,0,0,0
23984,carlo cudicini,Italy,43,1,0,0,0
23988,lassana diarra,France,31,1,0,0,1
23991,scott sinclair,United Kingdom,27,1,0,0,0
24001,james beattie,United Kingdom,38,1,0,0,0
24002,james mcfadden,United Kingdom,33,1,0,0,0
24003,james vaughan,United Kingdom,28,1,0,0,0
24004,joseph yobo,Nigeria,36,1,0,0,0
24005,lee carsley,United Kingdom,42,1,0,0,0
24006,leon osman,United Kingdom,35,1,0,0,0
24011,mikel arteta,Spain,34,1,0,0,0
24020,simon davies,United Kingdom,36,1,0,0,0
24099,hurtado perez moises,Spain,35,0,0,0,1
24104,jaroslav drobny,Czech Republic,36,0,1,0,0
24105,liam rosenior,United Kingdom,32,1,0,0,0
24116,boudewijn zenden,Netherlands,40,1,0,0,0
24123,jonathan de guzman,Canada,29,1,0,1,1
24130,john arne riise,Norway,36,1,0,1,0
24132,mohamed lamine sissoko,France,31,0,0,1,1
24133,salif diao,Senegal,39,1,0,0,0
24136,stephen warnock,United Kingdom,34,1,0,0,0
24138,daniel halfar,Germany,28,0,1,0,0
24147,ben foster,United Kingdom,33,1,0,0,0
24148,darren fletcher,United Kingdom,32,1,0,0,0
24154,ryan giggs,United Kingdom,42,1,0,0,0
24156,darron gibson,United Kingdom,28,1,0,0,0
24157,fraizer campbell,United Kingdom,29,1,0,0,0
24159,adam johnson,United Kingdom,29,1,0,0,0
24160,aiyegbeni yakubu,Nigeria,33,1,0,0,0
24161,andrew taylor,United Kingdom,30,1,0,0,0
24162,anthony mcmahon,United Kingdom,30,1,0,0,0
24163,chris riggott,United Kingdom,36,1,0,0,0
24166,david wheater,United Kingdom,29,1,0,0,0
24167,emanuel pogatetz,Austria,33,1,1,0,0
24168,salva ballesta,Spain,41,0,0,0,1
24171,james morrison,United Kingdom,30,1,0,0,0
24183,matthew bates,United Kingdom,29,1,0,0,0
24190,stuart parnaby,United Kingdom,34,1,0,0,0
24208,micah richards,United Kingdom,28,1,0,1,0
24209,nedum onuoha,Nigeria,29,1,0,0,0
24211,richard dunne,Ireland,37,1,0,0,0
24213,stephen ireland,United Kingdom,30,1,0,0,0
24216,sylvain distin,France,38,1,0,0,0
24217,emre belozoglu,Turkey,36,0,0,0,1
24223,scott parker,United Kingdom,35,1,0,0,0
24224,shay given,Ireland,40,1,0,0,0
24225,shola ameobi,Nigeria,34,1,0,0,0
24226,stephen carr,Ireland,40,1,0,0,0
24227,steve harper,United Kingdom,41,1,0,0,0
24228,steven taylor,United Kingdom,30,1,0,0,0
24229,tim krul,Netherlands,28,1,0,0,0
24230,titus bramble,United Kingdom,35,1,0,0,0
