"season","home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
"2008/2009",30855,37422,30750,33655,115297,37666,42173,38889,25571,34233,38578,75390,41156,32675,42200,37468,75397,27420,37471,40501,37506,38044
"2008/2009",25563,45440,33768,38385,75196,16230,18592,150330,33773,37429,24852,33958,34268,42310,37440,99333,38036,75474,NA,38035,75398,102572
"2008/2009",30664,33636,30903,30839,34103,33632,25924,33871,30663,38460,37412,30990,37597,33022,38065,3316,33586,38431,75192,6911,33729,39142
"2008/2009",33764,33025,33027,37604,96617,33866,37410,30287,30277,96620,33030,33827,33843,25913,41707,38479,38151,102612,38025,43310,37450,32763
"2008/2009",24494,34007,30752,30994,34008,38701,32761,37824,37459,41468,30909,96613,74403,74404,18501,37622,75239,4902,11555,45605,43329,75310
"2008/2009",37439,38922,33849,30276,33861,37491,38160,37631,38398,37411,33028,33018,150328,37451,34104,41167,37793,33761,33758,38573,37446,37441
"2008/2009",41466,33733,38458,56678,40599,37480,30958,38746,38362,38699,38551,75195,75199,38561,33898,74435,NA,150498,75216,38550,38136,38526
"2008/2009",30657,30962,25921,34520,30670,30834,23988,30878,30840,30655,25759,37579,33634,33885,33828,80497,37512,32999,33892,150644,38567,38382
"2008/2009",32657,33988,96616,30661,30738,39854,154257,30955,30981,33639,30626,NA,74743,75608,75395,74751,33887,78404,97334,38004,24383,41294
"2008/2009",33986,70255,33812,33990,33848,33759,31014,33991,46295,38139,33989,30855,31303,30750,37667,37426,33655,42173,38578,25571,34233,38751
"2008/2009",75390,37470,32675,42200,37468,41156,27420,37471,37461,37506,38044,113695,28439,33768,37879,33767,16230,18592,37455,24852,33773,75194
"2008/2009",33958,34268,42310,37440,99333,74747,38036,38035,75474,102572,75398,30664,33636,30903,30689,34103,38700,25924,33871,32656,38460,37412
"2008/2009",30990,37597,33022,38065,37672,33586,38431,75192,38471,33729,39142,33764,33025,33993,33027,96617,96619,37410,30287,30277,96620,33030
"2008/2009",33827,33843,25913,41707,38479,38151,33666,11758,43310,38025,32763,96613,74403,74404,18501,37622,75239,4902,11555,45605,43329,75310
